iter	MultiClass
0	1.077381101
1	1.052162727
2	1.028315363
3	1.01118351
4	0.990816102
5	0.9737837091
6	0.9554511613
7	0.9421821539
8	0.928727474
9	0.915616295
10	0.9038847969
11	0.8915831713
12	0.878759983
13	0.8673626569
14	0.8579259452
15	0.847585097
16	0.8377610869
17	0.8295212744
18	0.8212867417
19	0.8135675678
20	0.8058697278
21	0.7981578961
22	0.7918698008
23	0.7850195802
24	0.7794264979
25	0.7730202493
26	0.7670441412
27	0.761635599
28	0.7556055405
29	0.7492403538
30	0.7447596539
31	0.740069027
32	0.7352450534
33	0.7295712937
34	0.7248836072
35	0.7203705895
36	0.7165411463
37	0.7122370461
38	0.7082526225
39	0.7051166286
40	0.700545766
41	0.6976553672
42	0.6938669884
43	0.6908300739
44	0.6875896025
45	0.6843161143
46	0.6810921378
47	0.6786787108
48	0.676080977
49	0.6729601272
50	0.6694332461
51	0.6665129999
52	0.6633894501
53	0.6617801928
54	0.6591155153
55	0.6564785418
56	0.6543127617
57	0.6523008551
58	0.6503515324
59	0.6484910081
60	0.6453027574
61	0.6419350869
62	0.6392844823
63	0.6376569978
64	0.6352324944
65	0.6338558327
66	0.6322137533
67	0.6303127835
68	0.6286400584
69	0.6273242645
70	0.6258828026
71	0.6241813152
72	0.6222336537
73	0.6211133388
74	0.6183934903
75	0.6160647954
76	0.6147693858
77	0.613536516
78	0.6113832069
79	0.6102623161
80	0.6088445018
81	0.6072263393
82	0.6049555228
83	0.6034017624
84	0.6018518432
85	0.6002993167
86	0.59810679
87	0.5962867091
88	0.5943701735
89	0.5923053048
90	0.5915972801
91	0.589946814
92	0.5884136694
93	0.5866817365
94	0.5847856314
95	0.5823173744
96	0.5812563294
97	0.5796615043
98	0.578317715
99	0.5768052443
100	0.5756116726
101	0.5733068753
102	0.572397198
103	0.5713961916
104	0.569258406
105	0.5681047406
106	0.5674174133
107	0.5660223951
108	0.5649862551
109	0.5635179735
110	0.5623141568
111	0.5608866645
112	0.5593563967
113	0.5584354787
114	0.5574293073
115	0.5562901766
116	0.5547346163
117	0.5535750253
118	0.5522440332
119	0.5510412766
120	0.549617579
121	0.5483074385
122	0.5469670733
123	0.5465153418
124	0.5456297902
125	0.5441051686
126	0.5431189994
127	0.5423331886
128	0.5409641748
129	0.5398019932
130	0.5386287983
131	0.5376604836
132	0.5364144114
133	0.535693308
134	0.5342816555
135	0.5334106093
136	0.5323045398
137	0.5313870941
138	0.529442682
139	0.5274503595
140	0.5265707896
141	0.5249015149
142	0.5232959435
143	0.5213800842
144	0.5207321804
145	0.5200414923
146	0.5186654961
147	0.5170454261
148	0.515377573
149	0.5146801442
150	0.5136964442
151	0.5122015411
152	0.5110895422
153	0.5098260152
154	0.5085046683
155	0.5077749203
156	0.5064735349
157	0.505258172
158	0.5037566958
159	0.5026871254
160	0.5012786375
161	0.4999045324
162	0.4982424772
163	0.4970779966
164	0.4963664227
165	0.4948106021
166	0.4938992827
167	0.4925146714
168	0.4914219166
169	0.4899452274
170	0.4884683493
171	0.4871373884
172	0.4861002891
173	0.4853346482
174	0.4841743581
175	0.4838447915
176	0.4825839537
177	0.4818359043
178	0.4812369335
179	0.4805895497
180	0.4790977061
181	0.4782215276
182	0.4774112277
183	0.4768188439
184	0.4751200748
185	0.4742684254
186	0.4736791112
187	0.4723564433
188	0.4716550518
189	0.470698758
190	0.4697395618
191	0.4690463606
192	0.4680523977
193	0.4672397291
194	0.4664239134
195	0.4658757241
196	0.4642828037
197	0.4632832368
198	0.4627960829
199	0.4619854515
