iter	Passed	Remaining
0	6	1214
1	15	1503
2	23	1516
3	34	1696
4	42	1663
5	57	1866
6	68	1896
7	71	1719
8	74	1587
9	79	1513
10	83	1429
11	86	1361
12	90	1295
13	94	1259
14	98	1220
15	103	1184
16	106	1143
17	111	1122
18	115	1096
19	118	1069
20	122	1041
21	127	1031
22	130	1006
23	135	992
24	138	970
25	143	960
26	147	944
27	150	923
28	154	910
29	163	925
30	167	911
31	170	896
32	176	894
33	180	879
34	183	863
35	186	851
36	191	842
37	194	831
38	198	819
39	201	806
40	207	805
41	211	795
42	215	785
43	218	773
44	225	776
45	228	765
46	231	755
47	235	746
48	239	736
49	242	727
50	245	717
51	248	707
52	252	700
53	255	692
54	259	682
55	262	674
56	265	665
57	269	658
58	272	652
59	275	643
60	278	634
61	281	626
62	286	623
63	289	616
64	292	607
65	295	599
66	299	594
67	302	587
68	305	580
69	308	572
70	312	567
71	316	563
72	320	558
73	325	553
74	328	547
75	336	549
76	341	545
77	352	551
78	360	552
79	369	554
80	380	558
81	388	559
82	398	561
83	405	560
84	415	561
85	424	562
86	434	563
87	440	560
88	446	556
89	449	549
90	453	542
91	458	538
92	463	532
93	468	528
94	472	522
95	478	518
96	482	512
97	486	506
98	490	500
99	495	495
100	503	493
101	507	487
102	510	481
103	514	474
104	518	469
105	523	464
106	526	457
107	529	450
108	532	444
109	535	438
110	539	432
111	542	426
112	547	421
113	551	416
114	555	410
115	558	404
116	561	398
117	565	393
118	569	387
119	573	382
120	577	376
121	580	371
122	585	366
123	589	361
124	592	355
125	597	350
126	602	346
127	605	340
128	609	335
129	613	330
130	622	327
131	627	323
132	631	317
133	635	313
134	638	307
135	642	302
136	646	297
137	651	292
138	655	287
139	658	282
140	663	277
141	672	274
142	682	272
143	688	267
144	692	262
145	697	257
146	701	252
147	704	247
148	708	242
149	711	237
150	715	232
151	719	227
152	722	221
153	725	216
154	729	211
155	734	207
156	739	202
157	741	197
158	746	192
159	750	187
160	756	183
161	758	177
162	764	173
163	769	168
164	773	164
165	779	159
166	786	155
167	800	152
168	810	148
169	815	143
170	818	138
171	827	134
172	830	129
173	833	124
174	836	119
175	846	115
176	849	110
177	853	105
178	861	101
179	864	96
180	869	91
181	875	86
182	878	81
183	881	76
184	887	71
185	891	67
186	894	62
187	896	57
188	902	52
189	907	47
190	910	42
191	925	38
192	928	33
193	934	28
194	939	24
195	942	19
196	945	14
197	951	9
198	954	4
199	958	0
